id	title	description	link	image_link	availability	price	brand	gender	size	item_group_id
33063-32-L34	Джинсы	Джинсы	https://m.ququ.shop/product/105562-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105562-WCALTR-0.jpg	in_stock	5349 TJS	Diesel	male	size: 32/L34	33063
33063-33-L34	Джинсы	Джинсы	https://m.ququ.shop/product/105562-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105562-WCALTR-0.jpg	in_stock	5349 TJS	Diesel	male	size: 33/L34	33063
33063-34-L34	Джинсы	Джинсы	https://m.ququ.shop/product/105562-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105562-WCALTR-0.jpg	in_stock	5349 TJS	Diesel	male	size: 34/L34	33063
33063-36-L34	Джинсы	Джинсы	https://m.ququ.shop/product/105562-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105562-WCALTR-0.jpg	in_stock	5349 TJS	Diesel	male	size: 36/L34	33063
33366-46-48	Футболка	Футболка	https://m.ququ.shop/product/108684-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108684-VCALTR-0.jpg	in_stock	1449 TJS	Tommy Hilfiger	male	size: 46/48	33366
33366-48-50	Футболка	Футболка	https://m.ququ.shop/product/108684-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108684-VCALTR-0.jpg	in_stock	1449 TJS	Tommy Hilfiger	male	size: 48/50	33366
33366-50-52	Футболка	Футболка	https://m.ququ.shop/product/108684-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108684-VCALTR-0.jpg	in_stock	1449 TJS	Tommy Hilfiger	male	size: 50/52	33366
33366-52-54	Футболка	Футболка	https://m.ququ.shop/product/108684-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108684-VCALTR-0.jpg	in_stock	1449 TJS	Tommy Hilfiger	male	size: 52/54	33366
33366-54-56	Футболка	Футболка	https://m.ququ.shop/product/108684-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108684-VCALTR-0.jpg	in_stock	1449 TJS	Tommy Hilfiger	male	size: 54/56	33366
32627-36	Босоножки	Босоножки	https://m.ququ.shop/product/0XGG0W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/0XGG0W-X200PM-0.jpg	in_stock	4849 TJS	Furla	female	size: 36	32627
32627-39	Босоножки	Босоножки	https://m.ququ.shop/product/0XGG0W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/0XGG0W-X200PM-0.jpg	in_stock	4849 TJS	Furla	female	size: 39	32627
30626-35	Кеды	Кеды	https://m.ququ.shop/product/107703-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107703-UCALTR-0.jpg	in_stock	4799 TJS	Versace Jeans Couture	female	size: 35	30626
30626-36	Кеды	Кеды	https://m.ququ.shop/product/107703-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107703-UCALTR-0.jpg	in_stock	4799 TJS	Versace Jeans Couture	female	size: 36	30626
30626-37	Кеды	Кеды	https://m.ququ.shop/product/107703-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107703-UCALTR-0.jpg	in_stock	4799 TJS	Versace Jeans Couture	female	size: 37	30626
30626-39	Кеды	Кеды	https://m.ququ.shop/product/107703-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107703-UCALTR-0.jpg	in_stock	4799 TJS	Versace Jeans Couture	female	size: 39	30626
25547-40-42	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/205490-GBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/205490-GBALTR-0.jpg	in_stock	3149 TJS	EA7	female	size: 40/42	25547
25547-42-44	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/205490-GBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/205490-GBALTR-0.jpg	in_stock	3149 TJS	EA7	female	size: 42/44	25547
25547-44-46	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/205490-GBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/205490-GBALTR-0.jpg	in_stock	3149 TJS	EA7	female	size: 44/46	25547
25547-46-48	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/205490-GBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/205490-GBALTR-0.jpg	in_stock	3149 TJS	EA7	female	size: 46/48	25547
25547-48-50	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/205490-GBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/205490-GBALTR-0.jpg	in_stock	3149 TJS	EA7	female	size: 48/50	25547
32073-48-50	Футболка	Футболка	https://m.ququ.shop/product/102277-DBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102277-DBALTR-0.jpg	in_stock	2499 TJS	Weekend Max Mara	female	size: 48/50	32073
32080-46-48	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/105395-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105395-XCALTR-0.jpg	in_stock	3349 TJS	EA7	male	size: 46/48	32080
32080-48-50	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/105395-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105395-XCALTR-0.jpg	in_stock	3349 TJS	EA7	male	size: 48/50	32080
32080-50-52	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/105395-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105395-XCALTR-0.jpg	in_stock	3349 TJS	EA7	male	size: 50/52	32080
32080-52-54	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/105395-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105395-XCALTR-0.jpg	in_stock	3349 TJS	EA7	male	size: 52/54	32080
32080-54-56	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/105395-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105395-XCALTR-0.jpg	in_stock	3349 TJS	EA7	male	size: 54/56	32080
32080-56-58	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/105395-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105395-XCALTR-0.jpg	in_stock	3349 TJS	EA7	male	size: 56/58	32080
33403-42-44	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/102066-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102066-VCALTR-0.jpg	in_stock	3349 TJS	Pinko	female	size: 42/44	33403
33703-00	Сумка	Сумка	https://m.ququ.shop/product/104228-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104228-UCALTR-0.jpg	in_stock	4749 TJS	Boss	female	size: 00	33703
24848-46-48	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/109880-OAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109880-OAALTR-0.jpg	in_stock	1949 TJS	EA7	male	size: 46/48	24848
24848-48-50	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/109880-OAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109880-OAALTR-0.jpg	in_stock	1949 TJS	EA7	male	size: 48/50	24848
24848-50-52	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/109880-OAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109880-OAALTR-0.jpg	in_stock	1949 TJS	EA7	male	size: 50/52	24848
24848-52-54	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/109880-OAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109880-OAALTR-0.jpg	in_stock	1949 TJS	EA7	male	size: 52/54	24848
24848-54-56	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/109880-OAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109880-OAALTR-0.jpg	in_stock	1949 TJS	EA7	male	size: 54/56	24848
