id,title,description,gender,availability,inventory,condition,price,sale_price,link,image_link,brand,size,product_type,item_group_id
60078-39,Tommy Hilfiger,Кеды,women,in stock,100,new,"2299,00 TJS","2299,00 TJS",https://m.ququ.shop/product/206677-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/206677-TCALTR-0.jpg,Tommy Hilfiger,size: 39,Кеды,60078
34235-46-48,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 46/48,Футболка,34235
34235-48-50,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 48/50,Футболка,34235
34235-50-52,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 50/52,Футболка,34235
34235-52-54,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 52/54,Футболка,34235
34235-54-56,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 54/56,Футболка,34235
34235-56-58,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 56/58,Футболка,34235
34235-58-60,Aeronautica Militare,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/107402-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107402-VCALTR-0.jpg,Aeronautica Militare,size: 58/60,Футболка,34235
40260-46-48,Tommy Hilfiger,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/106877-RCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106877-RCALTR-0.jpg,Tommy Hilfiger,size: 46/48,Футболка,40260
40260-48-50,Tommy Hilfiger,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/106877-RCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106877-RCALTR-0.jpg,Tommy Hilfiger,size: 48/50,Футболка,40260
